Row L;uker; Deposito ; Giro ; Tabungan ; dpk 
5; KC Bandung AA (Konsolidasi-MB); 367 ; 255 ; 962 ; 1.584 
25; KC Garut (Konsolidasi-MB); 150 ; 110 ; 475 ; 734 
28; KC Indramayu (Konsolidasi-MB); 113 ; 74 ; 424 ; 611 
46; KC Majalengka (Konsolidasi-MB); 48 ; 96 ; 230 ; 374 
75; KC Purwakarta (Konsolidasi-MB); 91 ; 184 ; 276 ; 551 
92; KC Sukabumi (Konsolidasi-MB); 72 ; 86 ; 321 ; 479 
94; KC Sumedang (Konsolidasi-MB); 75 ; 59 ; 360 ; 495 
100; KC Tasikmalaya (Konsolidasi-MB); 75 ; 98 ; 421 ; 593 
104; KC Ciamis (Konsolidasi-MB); 32 ; 71 ; 206 ; 308 
105; KC Cianjur (Konsolidasi-MB); 154 ; 52 ; 370 ; 576 
107; KC Cirebon Kartini (Konsolidasi-MB); 411 ; 224 ; 728 ; 1.363 
123; KC Subang (Konsolidasi-MB); 71 ; 117 ; 254 ; 443 
132; KC Majalaya (Konsolidasi-MB); 56 ; 18 ; 239 ; 313 
133; KC Kuningan (Konsolidasi-MB); 131 ; 54 ; 334 ; 519 
137; KC Cimahi (Konsolidasi-MB); 475 ; 108 ; 680 ; 1.263 
161; KC Singaparna (Konsolidasi-MB); 143 ; 47 ; 259 ; 449 
162; KC Banjar (Konsolidasi-MB); 49 ; 61 ; 211 ; 322 
165; KC Jatibarang (Konsolidasi-MB); 51 ; 30 ; 201 ; 282 
181; KC Cibadak (Konsolidasi-MB); 79 ; 83 ; 247 ; 409 
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 336 ; 286 ; 764 ; 1.386 
337; KC Bandung Naripan (Konsolidasi-MB); 177 ; 252 ; 505 ; 935 
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 317 ; 184 ; 725 ; 1.227 
355; KC Pamanukan (Konsolidasi-MB); 66 ; 68 ; 218 ; 351 
389; KC Bandung Martadinata (Konsolidasi-MB); 162 ; 121 ; 322 ; 605 
401; KC Bandung Kopo (Konsolidasi-MB); 500 ; 101 ; 392 ; 993 
405; KC Bandung Dago (Konsolidasi-MB); 346 ; 140 ; 487 ; 973 
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 117 ; 95 ; 345 ; 557 
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 203 ; 157 ; 378 ; 739 
408; KC Bandung Setiabudi (Konsolidasi-MB); 237 ; 112 ; 380 ; 729 
544; KC Soreang (Konsolidasi-MB); 92 ; 81 ; 264 ; 437 
